,Item Description,Category
684,Smirnoff Whipped Cream,1031200.0
687,Captain Morgan Pineapple,1062500.0
689,Uv Vodka,1031000.0
690,Swell Vodka,1031000.0
693,Four Roses Small Batch,1011200.0
694,Jim Beam Traveler,1011200.0
695,Rich & Rare Reserve,1012100.0
700,Burnett's Vodka 80 Prf,1031000.0
701,Paul Masson Peach Grande Amber Brandy,1051100.0
705,Absolut Mandrin,1032200.0
706,Svedka Cucumber Lime,1032000.0
709,Paramount Sloe Gin,1041300.0
710,Tanqueray Rangpur Gin,1042100.0
713,Malibu Pineapple Upside Down Cake,1062500.0
716,Ice Hole Butterscotch Schnapps,1081400.0
718,Carolan's Irish Cream Liqueur,1081200.0
727,Montezuma Gold Tequila,1022100.0
736,Montezuma Triple Sec,1081500.0
738,Dekuyper Buttershots,1081400.0
741,Captain Morgan Spiced Barrel,1062400.0
742,Captain Morgan Parrot Bay Coconut,1062500.0
744,Bacardi Superior PET,1062200.0
745,Lady Bligh Spiced Rum,1062400.0
746,Bacardi Superior Rum Pet,1062200.0
748,Arrow Peppermint Schnapps Mini,1081400.0
751,Rumple Minze Peppermint Mini,1082200.0
756,Luxardo Maraschino Cherry,1082000.0
757,Crown Royal XO,1012100.0
758,Crown Royal Special Reserve,1012100.0
774,Admiral Nelson Cherry Spiced Rum,1062400.0
776,Phillips White Rum,1062200.0
789,Jeremiah Weed Sweet Tea Vodka,1031200.0
790,Uv Blue Raspberry Vodka Traveller,1031200.0
792,Burnett's Limeade Vodka,1031200.0
793,UV Cake Vodka,1031200.0
796,Romana Sambuca Italian Liquore,1082000.0
798,Dr. McGillicuddy's Peach,1082200.0
800,Kinky Liqueur,1081000.0
802,Thunder 101 Peppermint Schnapps,1081400.0
803,Arrow Peach Schnapps,1081400.0
805,Dekuyper Watermelon Pucker,1081400.0
817,Bulleit 95 Rye,1011600.0
819,Old Camp Peach Pecan Whiskey,1081600.0
820,New Amsterdam Gin,1041100.0
823,Korbel Brandy Pet,1051100.0
826,Drambuie w/2 Glasses,1701100.0
829,Old Forester Signature 100prf Bourbon,1011200.0
846,Nikolai Vodka,1031000.0
852,Northern Light,1012100.0
856,Seagrams Lime Twisted Gin,1041200.0
860,Bird Dog Strawberry,1011100.0
863,Sauza Blanco Silver,1022100.0
864,Jose Cuervo Authentic Grapefruit Tangerine Margarita,1070000.0
868,Five Star Pet,1011100.0
872,Cruzan Mango Rum,1062500.0
873,Paramount Gold Rum,1062100.0
876,Arrow Blackberry Flav Brandy,1051100.0
877,Piehole Cherry Pie,1081600.0
880,Rumcoqui,1081200.0
881,Dekuyper Michigan Cherry Liqueur,1081000.0
886,Mr. Boston Blackberry Brandy,1051100.0
887,Paramount Cherry Flavored Brandy,1051100.0
896,Absolut Pears,1032200.0
899,Three Olives Loopy Flavored Vodka,1032200.0
900,Burnetts Raspberry Vodka,1031200.0
901,Burnett's Citrus,1031200.0
905,Smirnoff Cranberry,1031200.0
906,Smirnoff Green Apple,1031200.0
908,Smirnoff Sours Fruit Punch,1031200.0
910,Smirnoff Sours Watermelon,1031200.0
913,Russell's Reserve 10YR,1011200.0
917,George Dickel Rye,1011600.0
918,Hot Stuff,1081600.0
920,Seagrams Seven Crown Dark Honey,1011100.0
921,Southern Host Whiskey Liqueur,1081600.0
923,Familia Camarena Silver,1022200.0
924,Exotico Blanco,1022200.0
925,Familia Camarena Reposado,1022200.0
927,Glenfiddich 12yr Special Reserve,1012300.0
928,Malibu Passion Fruit Rum,1062500.0
929,Malibu Black,1062500.0
930,Bacardi Black,1062300.0
935,Captain Morgan Private Stock,1062400.0
937,Kraken Black Spiced Rum,1062400.0
940,Arrow Sloe Gin,1081300.0
942,Grangala Triple Orange Liqueur,1082000.0
943,Amaretto E Dolce,1081000.0
944,Yukon Jack Canadian Liqueur,1081600.0
957,New Amsterdam Vodka Mini,1031000.0
959,Admiral Nelson Spiced Rum Mini,1062400.0
960,Jose Cuervo Especial Reposado Tequila Mini,1022100.0
963,Jim Beam Apple Mini,1011200.0
964,Kahlua Coffee Liqueur Mini,1081100.0
970,Buchanan's 12 Yr Deluxe Scotch,1012200.0
994,New Amsterdam 100prf,1031000.0
996,Svedka Mango Pineapple,1032200.0
1000,Uv Cake Vodka,1031200.0
1002,Hennessy VSOP Privilege,1052100.0
1011,Piehole Apple Pie,1081600.0
1012,Don Julio Real,1022200.0
1015,Gentleman Jack,1011400.0
1027,McCormick Vodka,1031000.0
1030,Lexington,1011200.0
1032,Jim Beam Honey Mini,1011200.0
1033,Jim Beam Honey,1011200.0
1035,Baileys Pumpkin Spice Irish Cream Mini,1701100.0
1041,99 Apples,1081400.0
1042,Southern Comfort w/Cocktail Shaker,1701100.0
1047,Kinky Blue,1081000.0
1051,Fireball Cinnamon,1081000.0
1052,Remy Martin Vsop (flask),1052100.0
1076,Jameson Caskmates,1012400.0
1077,Boodles British Gin London Dry,1042100.0
1078,Woodford Reserve Double Oaked,1011200.0
1080,Crown Royal Xr Canadian Whiskey,1012100.0
1084,Lauder's,1012200.0
1097,Ezra Brooks 50 Mo Ky Sour Mash Bourbon,1011200.0
1099,Uv Cherry Red Vodka Mini,1031200.0
1104,Tortilla Gold Tequila,1022100.0
1112,Crown Royal Vanilla Mini,1012100.0
1115,Swell Zone Vodka,1031000.0
1116,Rocket Fuel,1091200.0
1117,Saints N Sinners Apple Pie,1091100.0
1118,Prairie Fire,1011100.0
1130,Hawkeye Light Rum,1062200.0
1154,Smirnoff Strawberry,1031200.0
1172,Crown Royal Maple,1012100.0
1181,G & W Bourbon,1011200.0
1183,Ten High Traveler,1011200.0
1190,Fleischmann's Gin,1041100.0
1194,Barton Vodka Pet,1031000.0
1196,Svedka Cherry Vodka,1032200.0
1206,Myers's Rum Original Dark,1062300.0
1210,Admiral Nelson Spiced Rum Traveler,1062400.0
1216,Ronrico Silver Label Rum (pr),1062200.0
1220,Christian Bros Brandy Traveler,1051100.0
1221,Christian Bros Brandy-Round,1051100.0
1223,Paramount Apricot Flavored Brandy,1051100.0
1224,Chi-Chi's Strawberry Margarita W/tequila,1070000.0
1233,Dr. Mcgillicuddy's Mentholmint,1082200.0
1239,Rondiaz Rum Spiced,1062400.0
1242,Dekuyper Peachtree Schnapps,1081400.0
1246,"""Jose Cuervo Silver """"Rolling Stones""""""",1022200.0
1256,Hennessy Master Blender''s Selection,1701100.0
1258,Remy Martin 1738 Accord Royal,1052100.0
1261,1800 Silver,1022200.0
1265,Ciroc Mango,1032200.0
1272,Jack Daniels Black Label,1011400.0
1273,Jack Daniels Old #7 Black Lbl Flat,1011400.0
1287,Jameson Mini,1012400.0
1317,New Amsterdam,1031000.0
1325,Courvoisier Vs Coganc,1052100.0
1332,E & J Vs Brandy,1051100.0
1355,Patron Tequila Silver Mini,1022200.0
1356,Lot 40,1012100.0
1358,Kraken Black Spiced 70prf,1062400.0
1359,Kraken Black Spiced Rum 70prf,1062400.0
1362,Espolon Blanco,1022200.0
1363,Espolon Reposado,1022200.0
1364,Filibuster Dual Cask Bourbon,1011200.0
1365,Filibuster Boondoggler Whiskey,1011100.0
1366,Filibuster Dual Cask Rye Whiskey,1011600.0
1367,High West Rendezvous Rye,1011600.0
1368,High West Campfire,1011100.0
1369,Climax Wood-Fired Whiskey,1011100.0
1373,Seagrams Extra Dry Gin Mini,1041100.0
1384,Crown Royal Black,1012100.0
1414,E & J Vs Brandy Travelers,1051100.0
1415,Blackheart Premium Spiced Rum,1062400.0
1417,Calico Jack Spiced,1062400.0
1419,Portland Potato Vodka,1031000.0
1420,Outerspace,1031000.0
1425,Absolut Ruby Red,1032200.0
1431,Smirnoff Sours Berry Lemon,1031200.0
1435,Pearl Cucumber Vodka,1031200.0
1450,Dekuyper Triple Sec,1081500.0
1454,UV Candy Bar,1031200.0
1456,Hornitos Plata,1022200.0
1459,Olmeca Altos Plata,1022200.0
1460,Lunazul Blanco,1022200.0
1464,Three Olives Cherry Vodka,1032200.0
1466,Three Olives Vodka,1032000.0
1470,Prairie Organic Gin,1041100.0
1471,Hendrick's Gin,1042100.0
1472,Beefeater Gin,1042100.0
1477,Glenlivet 12 Yr Malt Scotch,1012300.0
1478,Redbreast 12YR,1012400.0
1482,Dalwhinnie 15 Yr Single Malt Scotch,1012300.0
1487,Evan Williams 1783,1011600.0
1488,Cabin Still Str Bourbon,1011200.0
1489,Red Stag Black Cherry,1011200.0
1490,Jim Beam Rye,1011600.0
1492,Clyde May's Straight Bourbon,1011200.0
1493,Four Roses Yellow Label,1011200.0
1495,Four Roses Single Barrel,1011300.0
1496,Sazerac Rye,1011600.0
1497,J.R. Ewing Private Reserve,1011200.0
1502,Dekuyper Cherry Pucker Schnapps,1081400.0
1505,Paramount Blue Curacao,1081000.0
1507,Salvador's Original Margarita PET,1070000.0
1510,Margaritaville Last Mango Margarita,1070000.0
1511,Chi-Chi's Long Island Iced Tea,1070000.0
1512,Chi-Chi's Gold Margarita,1070000.0
1515,Whistlepig 10YR,1011600.0
1528,Cedar Ridge Unaged Whiskey,1011100.0
1532,Bushmills Black Bush Irish Whiskey,1012400.0
1534,Seagrams 7 Crown Pet Flask,1011100.0
1547,Smirnoff Sorbet Light Raspberry Pomegranate,1031200.0
1550,E & J Vsop Superior Reserve Mini,1051100.0
1555,Admiral Nelson Coconut Rum,1062500.0
1558,Lucid Absinthe,1082000.0
1563,Cruzan Black Cherry Rum,1062500.0
1565,Dekuyper Signature Creme De Banana,1081000.0
1566,Dekuyper Raspberry Pucker,1081400.0
1568,Hornitos Gold,1022200.0
1571,Kamora Coffee Liqueur,1081100.0
1577,Paramount Gold Rum Traveler,1062100.0
1582,Arrow Mcdale's Butterscotch Schnapps,1081400.0
1589,Midnight Moon Cherry,1091300.0
1617,Jose Cuervo Light White Peach Margarita,1070000.0
1623,Dr. Mcgillicuddy's Cherry Mini,1082200.0
1626,Dr. Mcgillicuddy's Vanilla,1082200.0
1629,Smirnoff Peach,1031200.0
1632,Smirnoff Watermelon,1031200.0
1638,Olmeca Altos Reposado,1022200.0
1642,Exotico Reposado,1022200.0
1644,Captain Morgan Cannon Blast Mini,1062500.0
