,Store Number,County Number
60486,4655,50.0
60618,4135,77.0
60638,4919,77.0
61579,4841,82.0
61586,4952,82.0
62138,5065,97.0
62579,5045,97.0
62880,4703,97.0
63091,4705,52.0
63336,5096,52.0
63366,5225,52.0
63743,5207,57.0
63759,4852,57.0
63859,4745,57.0
63911,4921,57.0
63935,4861,57.0
64045,5147,79.0
64157,5317,86.0
64331,5269,57.0
64369,5253,57.0
64389,4551,6.0
64525,4980,7.0
64537,4981,86.0
64554,4770,7.0
64843,4731,77.0
64955,5058,77.0
65013,5332,77.0
65213,4873,25.0
65451,3540,82.0
65538,4748,82.0
65953,4911,82.0
66006,5156,82.0
66497,4353,17.0
66803,5283,17.0
67345,5282,17.0
67354,5212,17.0
67438,4553,35.0
67597,3624,50.0
67931,4364,79.0
68075,4365,79.0
68290,5290,50.0
68340,4429,50.0
68891,4734,77.0
69220,5307,77.0
69251,4406,77.0
69508,5117,64.0
69527,4205,64.0
69551,2592,64.0
69674,4665,77.0
70469,4696,77.0
70481,4519,77.0
70577,5255,77.0
70586,4379,77.0
70704,4518,77.0
70712,3806,77.0
70746,5340,77.0
70755,4371,77.0
70962,4719,77.0
71108,4715,77.0
71201,4539,37.0
71474,5079,24.0
71489,4149,24.0
71568,5203,14.0
71695,4577,25.0
71924,4621,85.0
71961,3606,38.0
72037,3591,94.0
72152,5055,35.0
72158,4024,42.0
72174,5325,42.0
72738,4370,91.0
72755,5229,91.0
72772,4882,61.0
72957,5358,91.0
73113,4266,73.0
73169,5223,36.0
73189,3880,78.0
73207,4042,65.0
73637,4253,61.0
73859,3930,33.0
74240,4034,3.0
74401,3648,10.0
74584,4515,99.0
74614,5289,85.0
74768,4414,78.0
74788,5158,78.0
74827,4440,78.0
74840,4477,78.0
74920,4741,78.0
75018,4435,78.0
75185,4866,78.0
75361,5052,1.0
75535,3698,77.0
75859,5119,41.0
76022,5310,55.0
76117,4529,95.0
76207,5246,41.0
76566,4584,12.0
76618,4754,9.0
76875,4945,66.0
77963,5020,16.0
77990,4541,23.0
78222,5019,49.0
78239,4934,57.0
78295,4679,57.0
78936,5295,7.0
79377,3587,56.0
79973,5062,56.0
80191,4859,29.0
81677,5070,70.0
82060,2839,82.0
82230,5198,82.0
82311,3882,82.0
83249,4746,70.0
83634,4970,70.0
83757,5041,79.0
83839,5075,62.0
84331,5112,60.0
84793,4777,71.0
84897,4880,15.0
85031,3465,39.0
85122,4418,78.0
85606,5164,78.0
85803,5114,43.0
85929,4560,83.0
86033,2459,39.0
86847,4482,91.0
88979,4663,31.0
89179,4711,31.0
89641,4685,31.0
90389,5341,57.0
90928,5157,13.0
91012,4838,8.0
91181,4664,8.0
91223,5159,13.0
91842,5193,13.0
92392,5270,77.0
92547,4890,77.0
92710,4669,77.0
92853,4929,25.0
92910,4887,77.0
93797,4759,7.0
93818,2836,7.0
93921,5294,7.0
94301,4948,23.0
94830,4645,82.0
94875,4912,82.0
95422,4507,21.0
95590,3891,74.0
95648,5021,30.0
96005,4854,32.0
96026,4274,74.0
96238,5281,94.0
96377,5288,94.0
96571,4775,46.0
96829,5221,93.0
96864,5217,93.0
97019,4232,4.0
97282,5109,91.0
98311,4695,77.0
99609,4520,85.0
99828,5262,82.0
101566,5344,97.0
101737,5076,97.0
101772,5083,97.0
101807,5188,97.0
102148,5328,6.0
103204,5025,57.0
103333,4635,57.0
103445,5172,57.0
105905,4351,17.0
106767,4506,52.0
107101,4724,50.0
107191,5275,50.0
107883,4505,77.0
108262,5170,64.0
108272,4338,64.0
108304,3656,77.0
108309,5099,77.0
109294,3871,77.0
110732,4415,42.0
111370,4544,20.0
111422,4782,27.0
111783,4573,36.0
111854,4602,65.0
112337,4786,61.0
112382,4590,7.0
113041,4938,10.0
113659,4739,78.0
114771,4797,77.0
115275,5367,19.0
115503,3393,66.0
115625,4533,66.0
117238,5350,57.0
117529,4991,22.0
118223,4498,10.0
118508,4578,89.0
118655,4692,56.0
118764,5213,56.0
118828,4689,56.0
118961,4857,29.0
119367,4858,29.0
119390,4983,29.0
119678,4699,82.0
119836,4747,82.0
120351,4552,82.0
120479,5336,70.0
120742,5259,65.0
124025,4523,5.0
126130,4343,77.0
126981,4710,31.0
127599,3872,31.0
127763,5241,48.0
128137,5006,31.0
128277,4536,31.0
128312,5183,31.0
129532,4730,77.0
130051,4489,57.0
130245,5061,57.0
130377,5304,81.0
130497,5120,67.0
130683,4982,11.0
130935,4210,11.0
130957,4737,11.0
