,Store Number,Zip Code
43986,2573,52761.0
44175,5260,52761.0
44194,3907,52761.0
44259,4184,52761.0
44309,5261,52761.0
44344,4806,52776.0
44366,3910,52327.0
44380,4402,52327.0
44395,4067,52356.0
44437,5252,52316.0
44449,3712,50171.0
44495,3065,50171.0
44516,4878,51245.0
44538,4193,51346.0
44563,3576,51346.0
44628,4485,51248.0
44664,4248,51201.0
44679,2661,51201.0
44784,3621,51201.0
44901,4589,51249.0
44944,4891,51249.0
45004,4336,51237.0
45037,4434,51246.0
45067,3705,51246.0
45150,4337,51241.0
45181,4006,51241.0
45187,4904,51241.0
45229,4820,51240.0
45263,5153,51240.0
45293,5263,51247.0
45330,4909,51247.0
45342,4563,51027.0
45359,3763,51023.0
45392,4525,51001.0
45424,4255,51041.0
45470,5133,51041.0
45516,4256,51250.0
45539,3981,51250.0
45586,2660,51250.0
45647,3742,51031.0
45688,2604,51031.0
45756,4277,51031.0
45793,4231,51031.0
45824,3695,51050.0
45865,3484,51035.0
45887,5311,51046.0
45921,4569,51058.0
45943,4532,50585.0
45955,3964,50585.0
45999,5266,50510.0
46004,3461,50250.0
46026,4654,50250.0
46046,4416,50048.0
46065,4417,50002.0
46076,4267,50020.0
46129,3833,50022.0
46159,2591,50022.0
46326,5081,50022.0
46347,4313,50022.0
46364,5208,50022.0
46368,4114,50022.0
46418,5082,50022.0
46426,5194,51570.0
46455,5177,51553.0
46464,5195,51530.0
46483,4159,51503.0
46718,4475,51501.0
46780,3521,51501.0
46808,4867,51501.0
46825,5342,51510.0
46855,4633,51510.0
46890,5077,51501.0
46924,3611,51546.0
46929,5044,51526.0
46944,4152,51555.0
47068,5089,51555.0
47098,5087,51546.0
47127,4000,51579.0
47236,5362,51529.0
47237,2650,51537.0
47271,4995,51537.0
47284,4229,51537.0
47424,5173,50025.0
47442,4473,50216.0
47633,5094,52401.0
47640,4950,52403.0
47733,2841,52403.0
47744,4491,52403.0
48569,4517,52402.0
48578,4744,52402.0
48623,4377,50313.0
48912,4596,50317.0
48953,4141,50320.0
49037,4641,50315.0
49073,4800,50320.0
49224,4138,50125.0
49491,4836,52240.0
49501,4457,52246.0
49517,4456,52246.0
49543,3565,52246.0
49684,4989,52240.0
50029,5219,52240.0
50118,4837,52240.0
50220,4504,50125.0
50248,5118,52068.0
50594,2465,52003.0
50713,4765,52001.0
51110,5306,52001.0
51299,4171,52033.0
51537,5239,52214.0
51754,5211,50131.0
51798,4853,50131.0
52239,4678,50003.0
52298,4359,50263.0
52387,4411,50069.0
52417,4872,50072.0
52427,4868,50263.0
52472,4446,50322.0
52548,4458,50131.0
52993,4923,51005.0
53260,4905,50579.0
53371,4930,50036.0
53618,5023,52404.0
53646,5024,52404.0
53654,2529,52405.0
53764,4176,52405.0
54079,4490,52404.0
54434,4720,50049.0
54899,4840,50707.0
55169,5101,50701.0
55485,4472,52544.0
55857,4380,52358.0
56227,4480,52732.0
56486,4412,52772.0
56505,4170,52358.0
56658,4508,51301.0
56663,3677,51338.0
57345,4774,51334.0
57346,4251,50014.0
57369,4899,51342.0
57616,5267,50501.0
57792,4702,50501.0
57802,2851,50501.0
57942,4514,50501.0
58085,5048,50581.0
58099,4326,50249.0
58118,4701,50036.0
58142,4896,52146.0
58400,3973,50014.0
58630,4436,50010.0
58818,2853,50014.0
58827,4960,50010.0
59332,4356,50201.0
59417,4575,50244.0
59743,4191,50219.0
59843,3789,52577.0
60026,2600,52577.0
60074,5301,52501.0
60138,4735,52501.0
60475,4293,52553.0
60486,4655,50228.0
60618,4135,50009.0
60638,4919,50009.0
61579,4841,52804.0
61586,4952,52804.0
62138,5065,51106.0
62579,5045,51103.0
62880,4703,51101.0
63091,4705,52241.0
63336,5096,52317.0
63366,5225,52317.0
63743,5207,52404.0
63759,4852,52404.0
63859,4745,52404.0
63911,4921,52404.0
63935,4861,52404.0
64045,5147,52347.0
64157,5317,52342.0
64331,5269,52202.0
64369,5253,52213.0
64389,4551,52345.0
64525,4980,50702.0
64537,4981,50675.0
64554,4770,50643.0
64843,4731,50325.0
64955,5058,50323.0
65013,5332,50111.0
65213,4873,50109.0
65451,3540,52807.0
65538,4748,52807.0
65953,4911,52768.0
66006,5156,52753.0
66497,4353,50248.0
66803,5283,50401.0
67345,5282,50401.0
