,Item Description,Category Name
710,Tanqueray Rangpur Gin,Imported Dry Gins
713,Malibu Pineapple Upside Down Cake,Flavored Rum
716,Ice Hole Butterscotch Schnapps,American Schnapps
718,Carolan's Irish Cream Liqueur,Cream Liqueurs
727,Montezuma Gold Tequila,Mixto Tequila
736,Montezuma Triple Sec,Triple Sec
738,Dekuyper Buttershots,American Schnapps
741,Captain Morgan Spiced Barrel,Spiced Rum
742,Captain Morgan Parrot Bay Coconut,Flavored Rum
744,Bacardi Superior PET,White Rum
745,Lady Bligh Spiced Rum,Spiced Rum
746,Bacardi Superior Rum Pet,White Rum
748,Arrow Peppermint Schnapps Mini,American Schnapps
751,Rumple Minze Peppermint Mini,Imported Schnapps
756,Luxardo Maraschino Cherry,Imported Cordials & Liqueurs
757,Crown Royal XO,Canadian Whiskies
758,Crown Royal Special Reserve,Canadian Whiskies
774,Admiral Nelson Cherry Spiced Rum,Spiced Rum
776,Phillips White Rum,White Rum
789,Jeremiah Weed Sweet Tea Vodka,American Flavored Vodka
790,Uv Blue Raspberry Vodka Traveller,American Flavored Vodka
792,Burnett's Limeade Vodka,American Flavored Vodka
793,UV Cake Vodka,American Flavored Vodka
796,Romana Sambuca Italian Liquore,Imported Cordials & Liqueurs
798,Dr. McGillicuddy's Peach,Imported Schnapps
800,Kinky Liqueur,American Cordials & Liqueurs
802,Thunder 101 Peppermint Schnapps,American Schnapps
803,Arrow Peach Schnapps,American Schnapps
805,Dekuyper Watermelon Pucker,American Schnapps
817,Bulleit 95 Rye,Straight Rye Whiskies
819,Old Camp Peach Pecan Whiskey,Whiskey Liqueur
820,New Amsterdam Gin,American Dry Gins
823,Korbel Brandy Pet,American Brandies
826,Drambuie w/2 Glasses,Temporary & Specialty Packages
829,Old Forester Signature 100prf Bourbon,Straight Bourbon Whiskies
846,Nikolai Vodka,American Vodka
852,Northern Light,Canadian Whiskies
856,Seagrams Lime Twisted Gin,Flavored Gin
860,Bird Dog Strawberry,Blended Whiskies
863,Sauza Blanco Silver,Mixto Tequila
