,Store Number,Store Location
9061,3013,"207 E Locust St
Bloomfield 52537
(40.752691, -92.412847)"
9091,4046,"113 W Vanburen
Centerville 52544
(40.734946, -92.874795)"
9118,2559,"301 Hwy. 34 West
Albia 52531
(41.015468, -92.810548)"
9157,4011,"121 North Clinton
Albia 52531
(41.028644, -92.808389)"
9190,4789,"419 Merrill St
Bussey 50044
(41.204759, -92.886643)"
9196,4817,"1201, E Main St
Knoxville 50138
(41.318981, -93.086254)"
9222,3818,"703 W Pleasant St
Knoxville 50138
(41.320746, -93.105641)"
9298,2566,"813 N Lincoln Ste 1
Knoxville 50138
(41.32788, -93.109519)"
9382,4275,"1308 S Lincoln St
Knoxville 50138
(41.308103, -93.109473)"
9396,5080,"719 2nd Ave W
Spencer 51301
(43.145215, -95.147741)"
9410,3660,"814 W Bell Ave
Knoxville 50138
(41.306201, -93.107957)"
9422,5050,"1115, Bluestem Dr
Carlisle 50047
(41.497922, -93.499483)"
9453,2190,"1460 2ND AVE
Des Moines 50314
(41.60566, -93.619787)"
9556,5309,"1443 2nd Ave
Des Moines 50314
(41.605229, -93.619783)"
9565,3783,"14 1/2 E Elm
Pocahontas 50574
(42.732607, -94.667312)"
9624,3626,"500 11th St
Spencer 51301
(43.126816, -95.152474)"
9647,4234,"104 E Eighth St
Spencer 51301
(43.145797, -95.143388)"
9660,2565,"819 N Grand Ave
Spencer 51301
(43.145897, -95.14506)"
10009,3390,"1610 Okoboji Avenue
Milford 51351
(43.331525, -95.149955)"
10105,5068,"612 S Highway 71
Arnolds Park 51331
(43.361805, -95.140049)"
10147,5293,"228, N Hwy 71
Arnolds Park 51331
(43.371031, -95.125869)"
10179,5104,"72, N Okoboji Grove Rd
Arnold's Park 51331
"
10211,2233,"2508 Enterprise Ave
Spirit Lake 51360
(43.416461, -95.126785)"
10238,3622,"2600 Hwy 71
Spirit Lake 51360
(43.416609, -95.126532)"
10258,2522,"Hwy 9 &amp; 71
Spirit Lake 51360
"
10353,4239,"1906 Keokuk
Spirit Lake 51360
(43.42157, -95.106219)"
10376,4387,"300 18th St
Spirit Lake 51360
(43.422645, -95.094324)"
10386,4582,"2402, 17th St
Spirit Lake 51360
(43.42282, -95.126585)"
10418,5154,"201, Market St
Lake Park 51347
(43.454741, -95.321385)"
10437,4272,"1108 Central Ave
Estherville 51334
(43.402096, -94.829963)"
10499,2556,"2608 E. Central Avenue
Estherville 51334
"
10546,4269,"610 Cedar St
Tipton 52772
(41.771753, -91.128389)"
10619,4783,"2406 Main St
Emmetsburg 50536
(43.111911, -94.68211)"
10629,3704,"1122 Broadway
Emmetsburg 50536
(43.10937, -94.678807)"
10731,4254,"2008 12th St
Emmetsburg 50536
(43.109244, -94.677307)"
10746,4592,"2401, Main
Emmetsburg 50536
(43.111913, -94.681939)"
10785,2445,"504 South Highway
Oakland 51560
(41.301436, -95.402224)"
10786,2512,"1720 Waterfront Dr
Iowa City 52240
(41.64272, -91.530436)"
11019,4013,"1126 Highway 38 North
Tipton 52772
(41.438006, -91.03069)"
11031,5329,"2293 Hwy 30
Grand Mounds 52751
(41.828106, -90.646441)"
11050,5106,"622 10th St
DeWitt 52742
(41.82514, -90.540112)"
11086,5298,"630, 6th Ave
DeWitt 52742
(41.82151, -90.538954)"
11107,3920,"1606 Camanche Ave
Clinton 52732
(41.827768, -90.204863)"
11172,2616,"901 South 4th St
Clinton 52732
(41.83619, -90.193203)"
11373,5227,"320, N 4th St
Clinton 52732
(41.848124, -90.193275)"
11409,2806,"1307 N Second
Clinton 52732
(41.858988, -90.184778)"
11486,4204,"1350 11th St NW
Clinton 52733
(41.860978, -90.211315)"
11502,4864,"1641 S Bluff Blvd
Clinton 52733
(41.833079, -90.225779)"
11527,3647,"2715 South 25th St
Clinton 52732
(41.818693, -90.244743)"
11555,4132,"908 7th Ave
Camanche 52730
(41.78845, -90.257282)"
11568,2475,"206 2nd Ave NE
West Bend 50597
(42.96288, -94.442995)"
11577,3732,"425 E Leclaire Rd
Eldridge 52748
(41.654695, -90.577312)"
11623,3845,"210 North Hwy
Otho 50569
(42.422303, -94.150427)"
11680,3592,"3036 1st Ave South
Fort Dodge 50501
(42.505334, -94.153456)"
11730,2562,"115 South 29th St
Fort Dodge 50501
(42.504742, -94.158247)"
11766,2663,"8701 Douglas
Urbandale 50322
(41.629364, -93.739105)"
11777,5237,"606, N 15th St
Fort Dodge 50501
(42.512182, -94.17795)"
11799,2644,"1511 2nd Ave North
Fort Dodge 50501
(42.508352, -94.17692)"
11910,4311,"1231 1st Ave S
Fort Dodge 50501
(42.505112, -94.181295)"
11929,5238,"1923, 5th Ave S
Fort Dodge 50501
(42.501169, -94.170859)"
11969,5167,"1724, 5th Ave S
Fort Dodge 50501
(42.501131, -94.173816)"
12039,4805,"902 1st Ave N
Fort Dodge 50501
(42.506332, -94.186138)"
12047,4319,"710 First Ave N
Humboldt 50548
(42.722165, -94.218699)"
12071,2606,"1011 13th St North
Humboldt 50548
(42.733221, -94.227116)"
12116,3524,"305 Airport Rd
Ames 50010
(42.001123, -93.61365)"
12163,5005,"410 W Main St
Laurens 50554
(42.846725, -94.853219)"
12186,4542,"520 W Main St
Laurens 50554
(42.846771, -94.855561)"
12199,4527,"105 SE First St
Gilmore City 50541
(42.732227, -94.44175)"
12223,4757,"1111 SE Lincoln St
Bondurant 50035
(41.692601, -93.457157)"
12298,4103,"3619 Stange Rd
Ames 50010
(42.057241, -93.645047)"
12314,4940,"301 WATER ST
Cambridge 50046
(41.899525, -93.529245)"
12361,5279,"3020 Duff Ave
Ames 50010
(42.05119, -93.618587)"
12371,4428,"4510 Mortensen Rd
Ames 50014
(42.01214, -93.679805)"
12399,4437,"4506 Lincoln Way
Ames 50010
(42.022898, -93.679448)"
12437,2500,"3800 W Lincoln Way
Ames 50010
(42.022832, -93.669899)"
12713,2501,"640 Lincolnway
Ames 50010
(42.022848, -93.619455)"
12966,4129,"626 Lincoln Way
Ames 50010
(42.022854, -93.618911)"
13144,2609,"500 Main St
Ames 50010
(42.025042, -93.618247)"
13170,4438,"111 Duff Ave
Ames 50010
(42.023592, -93.610396)"
13187,3866,"320 S Duff
Ames 50010
(42.019875, -93.610363)"
13206,4004,"534 S Duff Ave
Ames 50010
(42.017115, -93.610343)"
13217,4674,"2108 ISAAC NEWTON DR
Ames 50010
(42.009586, -93.585884)"
13299,4105,"1505 South B Ave
Nevada 50201
(42.009797, -93.439899)"
13345,5000,"1800 South B Ave
Nevada 50201
(42.009808, -93.435912)"
13354,5135,"911 Hwy 69
Huxley 50124
(41.902066, -93.608282)"
13371,3952,"3780 State St
Bettendorf 52722
(41.529655, -90.48065)"
13373,4453,"1116, Hwy 69 South
Forest City 50436
(43.248977, -93.637202)"
13378,3772,"2127 M L KING JR PKWY
Des Moines 50314
"
13401,4448,"4860 NW Urbandale Dr
Urbandale 50322
(41.646391, -93.769429)"
13406,5250,"3804 Hubbell Ave
Des Moines 50317
(41.630805, -93.541437)"
13460,2625,"3301 W Kimberly Rd
Davenport 52804
(41.558023, -90.624411)"
13640,3776,"3101 West Kimberly Rd
Davenport 52806
(41.559268, -90.620069)"
13689,2603,"2890 Devils Glen Road
Bettendorf 52722
(41.552338, -90.483701)"
13693,4192,"3800 Belmont Rd
Bettendorf 52722
(41.556273, -90.480359)"
14114,5013,"3715 State St
Bettendorf 52722
(41.529025, -90.481912)"
14137,5335,"1810 State Street
Bettendorf 52722
(41.525308, -90.506775)"
14159,4717,"3425 Middle Rd
Bettendorf 52722
(41.550775, -90.485277)"
14167,2840,"2002 Spruce Hills Dr
Bettendorf 52722
(41.550062, -90.503701)"
14184,3715,"1714 E Kimberly Rd
Davenport 52807
(41.556966, -90.550657)"
14244,2614,"1823 E Kimberly Rd
Davenport 52807
(41.556781, -90.548919)"
14292,4630,"2923 Brady St
Davenport 52803
(41.54994, -90.570581)"
14352,4640,"3527, Spring St
Davenport 52807
(41.5563, -90.547751)"
14389,4652,"3107, Brady St
Davenport 52803
(41.552205, -90.569702)"
14408,5319,"1802 W 7th St
Davenport 52802
(41.526774, -90.60134)"
14445,3853,"3108 West Central Park Ave #2
Davenport 52804
(41.545421, -90.620282)"
14476,2637,"2351 W Locust
Davenport 52804
(41.538207, -90.611972)"
14509,5257,"405, Madison Ave
Ottumwa 52501
(40.99908, -92.410446)"
14601,5003,"2604 W Locust St
Davenport 52804
(41.538186, -90.615542)"
