,Store Number,County
46929,5044,POTTAWATTA
46944,4152,HARRISON
47068,5089,HARRISON
47098,5087,HARRISON
47127,4000,HARRISON
47236,5362,HARRISON
47237,2650,SHELBY
47271,4995,SHELBY
47284,4229,SHELBY
47424,5173,AUDUBON
47442,4473,GUTHRIE
47633,5094,LINN
47640,4950,LINN
47733,2841,LINN
47744,4491,LINN
48569,4517,LINN
48578,4744,LINN
48623,4377,POLK
48912,4596,POLK
48953,4141,POLK
49037,4641,POLK
49073,4800,POLK
49224,4138,WARREN
49491,4836,JOHNSON
49501,4457,JOHNSON
49517,4456,JOHNSON
49543,3565,JOHNSON
49684,4989,JOHNSON
50029,5219,JOHNSON
50118,4837,JOHNSON
50220,4504,WARREN
50248,5118,DUBUQUE
50594,2465,DUBUQUE
50713,4765,DUBUQUE
51110,5306,DUBUQUE
51299,4171,DUBUQUE
51537,5239,LINN
51754,5211,POLK
51798,4853,POLK
52239,4678,DALLAS
52298,4359,DALLAS
52387,4411,DALLAS
52417,4872,MADISON
52427,4868,DALLAS
52472,4446,POLK
52548,4458,POLK
52993,4923,CHEROKEE
53260,4905,CALHOUN
53371,4930,BOONE
53618,5023,LINN
53646,5024,LINN
53654,2529,LINN
53764,4176,LINN
54079,4490,LINN
54434,4720,LUCAS
54899,4840,Black Hawk
55169,5101,BLACK HAWK
55485,4472,APPANOOSE
55857,4380,CEDAR
56227,4480,CLINTON
56486,4412,CEDAR
56505,4170,CEDAR
56658,4508,CLAY
56663,3677,CLAY
57345,4774,EMMET
57346,4251,STORY
57369,4899,PALO ALTO
57616,5267,WEBSTER
57792,4702,WEBSTER
57802,2851,WEBSTER
57942,4514,WEBSTER
58085,5048,POCAHONTAS
58099,4326,HAMILTON
58118,4701,BOONE
58142,4896,ALLAMAKEE
58400,3973,STORY
58630,4436,STORY
58818,2853,STORY
58827,4960,STORY
59332,4356,STORY
59417,4575,STORY
59743,4191,MARION
59843,3789,MAHASKA
60026,2600,MAHASKA
60074,5301,WAPELLO
60138,4735,WAPELLO
60475,4293,WAPELLO
60486,4655,JASPER
60618,4135,POLK
60638,4919,POLK
61579,4841,SCOTT
61586,4952,SCOTT
62138,5065,WOODBURY
62579,5045,WOODBURY
62880,4703,WOODBURY
63091,4705,JOHNSON
63336,5096,JOHNSON
63366,5225,JOHNSON
63743,5207,LINN
63759,4852,LINN
63859,4745,LINN
63911,4921,LINN
63935,4861,LINN
64045,5147,Poweshiek
64157,5317,TAMA
64331,5269,LINN
64369,5253,LINN
64389,4551,BENTON
64525,4980,Black Hawk
64537,4981,TAMA
