,Store Number,Address
29081,4657,308 N Washington
29087,5206,1400 G  Ave
29127,4495,"504, G Ave"
29147,4396,606 Grundy Ave
29179,4306,1208  4th St NE
29223,4547,309 Central Ave West
29248,4421,609 Central Ave W
29273,2460,721 Central Avenue West
29314,4658,904 Washington Ave
29327,4284,500 Iowa St
29340,2658,402 S Hayes St
29354,3813,104 North Fillmore
29398,2655,1200 S 16TH ST
29424,4249,115 Essie Davison Dr
29467,5210,"900, E  Washington  St"
29514,4246,1007 S Fremont St
29523,2607,520 So Fremont
29601,4937,1310 W Sheridan Ave
29608,4629,309 N Locust St
29637,4708,423 SHARP ST
29668,4010,900 S Locust St
29705,4738,"1030, Veteran Memorial Hwy"
29714,4545,14151 Wabash Ave
29751,4510,701 Main St
29768,2518,1607 North Broadway
29883,4318,811 Broadway
29899,2656,300  10th St
29925,2327,801 Hull St
29975,5110,"200, N Walnut St"
30000,3830,806 Laurel St
30029,2553,600 Sheldon
30066,2672,923 N  1st St
30091,4823,903 N Sumner Ave
30113,4291,105 E Adams St
30162,4531,501 N Douglas St
30169,2228,53 Green St
30222,4848,111 E Jefferson St
30296,4907,2323 Main St
30309,4947,1420 W First St
30451,4147,214 N Magnolia Dr
30463,3819,915 Short St
30469,4631,"2425, Whitetail Dr"
30490,4914,2728 Center St
30507,2835,2302 West First St
30523,4723,2509 Whitetail Dr
30536,5007,1022 Skylar St
30550,5181,"1101, Jefferson St"
30560,5352,600 7th Ave
30581,3717,201 W 1st St
30607,3857,9th St SW B
30637,4762,101 Main St
30727,4818,"303, College Dr"
30728,4183,103 E Main
30773,3721,1798 Old Stage Rd
30806,4289,777  11th Ave SW
30826,2178,618 Rossville Road
30918,5017,417 Main St
30959,5330,124 West Tilden St.
30988,4973,"303, Hwy 150 N"
31043,4466,515 W Water St
31055,5180,"801, E  Charles  St"
31071,4628,137 2nd Ave SE
31089,4156,102  2nd Ave SE
31110,5199,"701, S  Frederick  Ave"
31123,3584,1011 S Frederick M/a Po Bx 572
31163,4395,1111 Ia Highway 175
31183,4651,301 MAIN ST
31208,5297,1803 Superior St
31232,2602,823  2nd St
31262,4709,2719 Grand Ave
31388,5187,125 6th ST
31405,4235,942  2nd St
31420,5296,1102 2nd St
31427,4133,1447  2nd St
31450,4459,1120 S Commercial
31465,4236,205 NW  1st St
31531,4556,319 E Hwy 3
31542,3056,325 Central Ave W
31567,4591,"222, Central Ave"
31579,5287,300 Central Ave W
31585,5302,112 River Ave S
31595,3654,207 E Main St
31611,4247,512 River Ave N
31628,4172,1204 Water St Po Box 177
31649,4355,1554 Broad St
31671,4081,306 Washington
31738,4102,619 Burnett Ave
31785,4675,2801 E 13th St
31807,4767,6981 NE 14th St
31832,5245,"1516, SE  1st St"
31909,5051,630 SW  9TH ST
31934,4478,"3000, SW 9th St"
31969,4597,850 Army Post Rd
32016,5145,1101 Army Post Rd
32056,4186,5901 FLEUR DR
32076,5131,"1401, Buchanan St"
32116,3700,158 South Elm
32163,5322,212 West Wood St.
32190,4743,1801 Valley View Dr
32240,3443,1141 N Broadway
32316,3728,726 Creek Top
32388,4476,15 North 16th St
32399,5182,1749 W Broadway
32424,3963,1925 W Broadway
32490,4740,2508 W Broadway
32504,5327,3540 W Broadway
32508,4317,212 SW Kent
32559,4626,"3632, Avenue G"
32579,4808,"3500, Ave A"
32591,4474,3501 W Broadway St
32615,4608,"510, 23rd Ave"
32652,5314,3134 Manawa Center Dr. # 9
32750,4462,113 1st St NW
32768,4509,2515 Chamberlain
32777,3477,3221 Manawa Centre Dr
32813,4503,102 W Main St
32862,4516,205 Brown St
32947,4463,145 Us Hwy 18 W
32973,4780,"576, N Main Ave"
32983,3682,110 E Main St
33001,4268,1905 Highway 18 E
33058,2585,1516 Highway 169 North
33174,3842,107 N Portland St Po Bx 222
33224,4650,"202, W 4th Ave"
33259,4073,306 Hwy 69 South
33358,3881,120 E Main St
33408,5126,4343 Merle Hay Rd
33547,2539,Highway 65 South
33675,2651,1311 4 Street SW
33866,4146,220 W Bremer Ave
33906,4538,402 North Main St
33913,4999,213 S Main St
33923,4700,"306, N Main"
33936,3676,107 E Traer
33997,4203,620 W Bremer Ave
34036,4924,2757 Charles City Rd
34072,3688,100 W Main St
34087,4285,102 S Water Ave
34157,4143,603  E HWY 24
34287,4233,112 S Elm St
34328,4769,100 Grant St
34347,4559,633 CHASE ST
34440,3542,244 W 4TH ST
34468,4986,68 Monroe St
34485,5134,"609, S Main St"
34497,5121,"1908, Clark St"
34536,4321,210  11th St
34572,2578,901 Kelly St
34697,4524,14 E Congress
34727,3045,8 2nd St NW
34759,4600,4200 E Hubbell Ave
34823,4273,2800 E University Ave
34928,4057,1434 Des Moines St Ste 5
34929,3825,1372 E 14th St
34974,4062,145 University Ave
35055,5128,1819 Beaver Ave
35109,2852,2303 Merle Hay Rd
35161,3612,509 E Platt
35186,3778,4538 Lower Beaver Rd
35289,2850,215 E Euclid Ave
35302,5338,5050 NW 2nd Ave
35597,3886,101  115 St
35621,5333,402 E Main
35741,3829,715  1st Ave S
35816,4856,930 Commercial St
35876,4562,206 Short St
35889,4953,302 Hwy 136
35930,4051,110 Westgate Dr
36159,3488,400 S Second
36177,4540,1104 N Riverview St
36188,4690,5358 Hwy 64
36202,4543,1100 Eagle View Dr
36216,4180,480 7th Ave
36308,4876,"655, Robbins Rd"
36326,3707,1030 Blairs Ferry Rd NE
36398,2569,279 Collins Road NE
36548,4605,1203 Blairs Ferry Rd
36586,4736,1225 7th Ave
36623,2514,2790 7th Avenue
36682,2847,"3499, 7th Ave"
36702,4401,3215 7th Ave
36735,4155,3300 10th Ave
36780,2560,3600 Business Hwy 151 East
36996,5039,1200 S Market St
37004,4126,123 E Main St
37115,3494,210 East Tower Park Dr
37183,2538,1422 Flammang Dr
37227,4166,1314  7th St
37425,5364,3594 Lafayette Road
37455,2575,2834 Ansborough Ave
37497,2643,2126 Kimball Ave
37686,4760,111 W Ridgeway Ave
37713,4150,40  W San Marnan
37751,3690,1501 E San Marnan
37788,3740,1010 E Mitchell Ave
37840,4910,1008 Laporte Rd
37886,2837,1825 E San Marnan
37907,4223,1119 River Forest Rd
38002,4153,215 S Evans Rd
38030,5031,101 Commercial St
38090,5001,709 First St W
38174,3784,200  1st St East
38251,4148,1400 3rd Ave SE
38252,5175,"502, 3rd  St"
38336,5271,"135, Madison Street"
38369,4189,109 East Marion St
38376,5054,900 E Main St
38486,5171,"110, E Jefferson St"
38538,3744,733 16th Ave SE
38562,4182,1207  12th Ave SE
