,Store Number,City
71108,4715,West Des Moines
71201,4539,Scranton
71474,5079,Denison
71489,4149,Denison
71568,5203,Coon Rapids
71695,4577,Woodward
71924,4621,Maxwell
71961,3606,Grundy Center
72037,3591,Ackley
72152,5055,Latimer
72158,4024,Iowa Falls
72174,5325,Hubbard
72738,4370,Norwalk
72755,5229,Norwalk
72772,4882,St Charles
72957,5358,Bevington
73113,4266,Shenandoah
73169,5223,Tabor
73189,3880,Council Bluffs
73207,4042,Glenwood
73637,4253,Winterset
73859,3930,St Lucas
74240,4034,Postville
74401,3648,Fairbank
74584,4515,Dows
74614,5289,Story City
74768,4414,Neola
74788,5158,Council Bluffs
74827,4440,Council Bluffs
74840,4477,Council Bluffs
74920,4741,Council Bluffs
75018,4435,Council Bluffs
75185,4866,Council Bluffs
75361,5052,Greenfield
75535,3698,West Des Moines
75859,5119,Corwith
76022,5310,Algona
76117,4529,Buffalo Center
76207,5246,Forest City
76566,4584,Dumont
76618,4754,Waverly
76875,4945,Osage
77963,5020,Stanwood
77990,4541,Delmar
78222,5019,Bellevue
78239,4934,Springville
78295,4679,Cedar Rapids
78936,5295,Waterloo
79377,3587,Keokuk
79973,5062,Montrose
80191,4859,Burlington
81677,5070,Wilton
82060,2839,Davenport
82230,5198,Davenport
82311,3882,Davenport
83249,4746,Muscatine
83634,4970,West Liberty
83757,5041,Montezuma
83839,5075,New Sharon
84331,5112,Inwood
84793,4777,Paullina
84897,4880,Anita
85031,3465,Panora
85122,4418,Walnut
85606,5164,Council Bluffs
85803,5114,Missouri Valley
85929,4560,Harlan
86033,2459,Guthrie Center
86847,4482,Indianola
88979,4663,Peosta
89179,4711,Dubuque
89641,4685,Dubuque
90389,5341,Cedar Rapids
