,Item Description,Vendor Number
943,Amaretto E Dolce,421.0
944,Yukon Jack Canadian Liqueur,260.0
957,New Amsterdam Vodka Mini,205.0
959,Admiral Nelson Spiced Rum Mini,259.0
960,Jose Cuervo Especial Reposado Tequila Mini,395.0
963,Jim Beam Apple Mini,65.0
964,Kahlua Coffee Liqueur Mini,370.0
970,Buchanan's 12 Yr Deluxe Scotch,260.0
994,New Amsterdam 100prf,205.0
996,Svedka Mango Pineapple,115.0
1000,Uv Cake Vodka,380.0
1002,Hennessy VSOP Privilege,420.0
1011,Piehole Apple Pie,260.0
1012,Don Julio Real,260.0
1015,Gentleman Jack,85.0
1027,McCormick Vodka,300.0
1030,Lexington,492.0
1032,Jim Beam Honey Mini,65.0
1033,Jim Beam Honey,65.0
1035,Baileys Pumpkin Spice Irish Cream Mini,260.0
1041,99 Apples,55.0
1042,Southern Comfort w/Cocktail Shaker,421.0
1047,Kinky Blue,322.0
1051,Fireball Cinnamon,421.0
1052,Remy Martin Vsop (flask),389.0
1076,Jameson Caskmates,370.0
1077,Boodles British Gin London Dry,395.0
1078,Woodford Reserve Double Oaked,85.0
1080,Crown Royal Xr Canadian Whiskey,260.0
1084,Lauder's,55.0
1097,Ezra Brooks 50 Mo Ky Sour Mash Bourbon,434.0
1099,Uv Cherry Red Vodka Mini,380.0
1104,Tortilla Gold Tequila,421.0
1112,Crown Royal Vanilla Mini,260.0
1115,Swell Zone Vodka,154.0
1116,Rocket Fuel,154.0
1117,Saints N Sinners Apple Pie,324.0
1118,Prairie Fire,154.0
1130,Hawkeye Light Rum,434.0
1154,Smirnoff Strawberry,260.0
1172,Crown Royal Maple,260.0
1181,G & W Bourbon,297.0
1183,Ten High Traveler,55.0
1190,Fleischmann's Gin,55.0
1194,Barton Vodka Pet,55.0
1196,Svedka Cherry Vodka,115.0
1206,Myers's Rum Original Dark,260.0
1210,Admiral Nelson Spiced Rum Traveler,259.0
1216,Ronrico Silver Label Rum (pr),65.0
1220,Christian Bros Brandy Traveler,259.0
1221,Christian Bros Brandy-Round,259.0
1223,Paramount Apricot Flavored Brandy,434.0
1224,Chi-Chi's Strawberry Margarita W/tequila,55.0
1233,Dr. Mcgillicuddy's Mentholmint,421.0
1239,Rondiaz Rum Spiced,322.0
1242,Dekuyper Peachtree Schnapps,65.0
1246,"""Jose Cuervo Silver """"Rolling Stones""""""",395.0
1256,Hennessy Master Blender''s Selection,420.0
1258,Remy Martin 1738 Accord Royal,389.0
1261,1800 Silver,395.0
1265,Ciroc Mango,260.0
1272,Jack Daniels Black Label,85.0
