,Cost Total
1264,130.68
1265,130.68
1266,130.68
1267,132.0
1268,528.0
1269,121.68
1270,162.48
1271,156.12
1272,156.12
1273,312.24
1274,162.48
1275,162.48
1276,162.48
1277,156.12
1278,156.12
1279,156.12
1280,156.12
1281,156.12
1282,156.12
1283,2599.68
1284,11.5
1285,23.0
1286,11.5
1287,23.0
1288,11.5
1289,141.84
1290,47.28
1291,46.2
1292,46.2
1293,47.28
1294,47.28
1295,47.28
1296,47.28
1297,47.28
1298,46.2
1299,46.2
1300,47.28
1301,46.2
1302,47.28
1303,94.56
1304,46.2
1305,46.2
1306,47.28
1307,46.2
1308,47.28
1309,47.28
1310,47.28
1311,47.28
1312,47.28
1313,46.2
1314,47.28
1315,47.28
1316,47.28
1317,92.4
1318,94.56
1319,47.28
1320,47.28
1321,46.2
1322,46.2
1323,47.28
1324,94.56
1325,47.28
1326,47.28
1327,47.28
1328,47.28
1329,47.28
1330,47.28
1331,47.28
1332,47.28
1333,90.0
1334,90.0
1335,90.0
1336,82.80000000000001
1337,82.80000000000001
1338,18.68
1339,18.68
1340,112.08
1341,26.52
1342,28.02
1343,28.02
1344,28.02
1345,37.36
1346,17.68
1347,18.68
1348,18.68
1349,18.68
1350,82.44
1351,94.44
1352,82.44
1353,94.44
1354,82.44
1355,94.44
1356,46.2
1357,49.199999999999996
1358,138.6
1359,98.39999999999999
1360,49.199999999999996
1361,49.199999999999996
1362,49.199999999999996
1363,49.199999999999996
1364,46.2
1365,49.199999999999996
1366,168.0
1367,168.0
1368,102.72
1369,150.0
1370,29.0
1371,29.0
1372,29.0
1373,43.5
1374,29.0
1375,29.0
1376,15.0
1377,86.52
1378,91.08
1379,95.52
1380,72.0
1381,67.5
1382,67.5
1383,67.5
1384,131.88
1385,131.88
1386,131.88
1387,131.88
1388,135.60000000000002
1389,4068.0000000000005
1390,135.60000000000002
1391,135.60000000000002
1392,131.88
1393,135.60000000000002
1394,135.60000000000002
1395,41.519999999999996
1396,41.519999999999996
1397,41.519999999999996
1398,41.519999999999996
1399,41.519999999999996
1400,41.519999999999996
1401,41.519999999999996
1402,41.519999999999996
1403,83.03999999999999
1404,43.2
1405,43.2
1406,41.519999999999996
1407,41.519999999999996
1408,41.519999999999996
1409,41.519999999999996
1410,41.519999999999996
1411,41.519999999999996
1412,41.519999999999996
1413,41.519999999999996
1414,41.519999999999996
1415,83.03999999999999
1416,5.44
1417,5.44
1418,10.88
1419,127.56
1420,127.56
1421,127.56
1422,127.56
1423,115.56
1424,19.29
1425,19.29
1426,19.29
1427,25.72
1428,27.240000000000002
1429,101.88
1430,107.39999999999999
1431,107.39999999999999
1432,107.39999999999999
1433,107.39999999999999
1434,107.39999999999999
1435,107.39999999999999
1436,107.39999999999999
1437,107.39999999999999
1438,107.39999999999999
1439,107.39999999999999
1440,107.39999999999999
1441,107.39999999999999
1442,107.39999999999999
1443,107.39999999999999
1444,107.39999999999999
1445,107.39999999999999
1446,46.2
1447,52.199999999999996
1448,159.96
1449,159.96
1450,168.0
1451,90.96000000000001
1452,45.480000000000004
1453,45.480000000000004
1454,45.480000000000004
1455,45.480000000000004
1456,45.480000000000004
1457,45.480000000000004
1458,45.480000000000004
1459,45.480000000000004
1460,45.480000000000004
1461,45.480000000000004
1462,45.480000000000004
1463,45.480000000000004
1464,45.480000000000004
1465,45.480000000000004
1466,45.480000000000004
1467,45.480000000000004
1468,45.480000000000004
1469,45.480000000000004
1470,45.480000000000004
1471,45.480000000000004
1472,45.480000000000004
1473,45.480000000000004
1474,45.480000000000004
1475,45.480000000000004
1476,45.480000000000004
1477,45.480000000000004
1478,45.480000000000004
1479,87.24
1480,87.24
1481,87.24
1482,87.24
1483,70.80000000000001
1484,70.80000000000001
1485,70.80000000000001
1486,70.80000000000001
1487,41.76
1488,41.76
1489,41.76
1490,43.5
1491,43.5
1492,43.5
1493,121.68
1494,123.0
1495,92.28
1496,92.28
1497,65.76
1498,65.76
1499,65.76
1500,65.76
1501,201.12
1502,210.0
1503,210.0
1504,210.0
1505,61.32000000000001
1506,61.32000000000001
1507,61.32000000000001
1508,61.32000000000001
1509,61.32000000000001
1510,101.76
1511,101.76
1512,101.76
1513,101.76
1514,101.76
1515,101.76
1516,101.76
1517,38.94
1518,35.94
1519,35.94
1520,38.94
1521,35.94
1522,35.94
1523,38.94
1524,38.94
1525,20.25
1526,19.5
1527,13.0
1528,20.25
1529,40.5
1530,19.59
1531,19.59
1532,71.88
1533,38.94
1534,35.94
1535,38.94
1536,38.94
1537,38.94
1538,35.94
1539,38.94
1540,35.94
1541,38.94
1542,77.88
1543,35.94
1544,38.94
1545,38.94
1546,38.94
1547,35.94
1548,38.94
1549,35.94
1550,35.94
1551,35.94
1552,35.94
1553,35.94
1554,35.94
1555,38.94
1556,71.88
1557,35.94
1558,35.94
1559,38.94
1560,77.88
1561,52.800000000000004
1562,52.800000000000004
1563,52.800000000000004
1564,52.800000000000004
1565,54.239999999999995
1566,52.800000000000004
1567,80.28
1568,80.28
1569,68.28
1570,9.48
1571,9.48
1572,4.74
1573,9.48
1574,9.48
1575,4.74
1576,41.76
1577,41.76
1578,41.76
1579,41.76
1580,41.76
1581,41.76
1582,41.76
1583,41.76
1584,41.76
1585,41.76
1586,41.76
1587,41.76
1588,41.76
1589,65.64
1590,65.64
1591,62.519999999999996
1592,63.96
1593,174.0
1594,84.0
1595,80.88
1596,84.0
1597,83.88
1598,83.88
1599,81.0
1600,87.0
1601,174.0
1602,87.0
1603,81.0
1604,87.0
1605,87.0
1606,80.88
1607,87.0
1608,87.0
1609,83.88
1610,87.0
1611,87.0
1612,83.88
1613,87.0
1614,87.0
1615,83.88
1616,84.0
1617,84.0
1618,168.0
1619,87.0
1620,167.76
1621,174.0
1622,83.88
1623,66.12
1624,66.12
1625,66.12
1626,66.12
1627,66.12
1628,66.12
1629,66.12
1630,66.12
1631,66.12
1632,66.12
1633,66.12
1634,132.24
1635,66.12
1636,66.12
1637,66.12
1638,66.12
1639,66.12
1640,82.02
1641,88.02
1642,380.1
1643,88.02
1644,82.02
1645,103.19999999999999
1646,120.0
1647,120.0
1648,120.0
1649,120.0
1650,120.0
1651,120.0
1652,120.0
1653,120.0
1654,120.0
1655,120.0
1656,120.0
1657,121.92
1658,133.92000000000002
1659,33.32
1660,199.92000000000002
1661,49.980000000000004
1662,49.980000000000004
1663,37.5
1664,150.0
1665,37.5
1666,25.0
1667,150.0
1668,47.64
1669,48.96
1670,48.96
1671,48.96
1672,48.96
1673,47.64
1674,29.28
1675,41.88
1676,83.76
1677,41.88
1678,35.88
1679,48.0
1680,48.0
1681,48.0
1682,48.0
1683,48.0
1684,48.0
1685,48.0
1686,48.0
1687,48.0
1688,48.0
1689,48.0
1690,48.0
1691,61.56
1692,61.56
1693,61.56
1694,61.56
1695,119.16
1696,49.65
1697,95.64
1698,95.64
1699,83.64
1700,95.64
1701,95.64
1702,83.64
1703,95.64
1704,191.28
1705,83.64
1706,83.64
1707,168.0
1708,27.56
1709,168.0
1710,41.339999999999996
1711,165.35999999999999
1712,41.339999999999996
1713,41.339999999999996
1714,84.0
1715,84.0
1716,43.0
1717,43.0
1718,42.34
1719,64.5
1720,40.84
1721,42.34
1722,42.34
1723,86.0
1724,42.34
1725,53.519999999999996
1726,53.519999999999996
1727,53.519999999999996
1728,107.03999999999999
1729,53.519999999999996
1730,53.519999999999996
1731,53.519999999999996
1732,53.519999999999996
1733,53.519999999999996
1734,53.519999999999996
1735,53.519999999999996
1736,53.519999999999996
1737,53.519999999999996
1738,53.519999999999996
1739,53.519999999999996
1740,107.03999999999999
1741,53.519999999999996
1742,53.519999999999996
1743,53.519999999999996
1744,53.519999999999996
1745,9.34
1746,4.67
1747,9.34
1748,9.34
1749,9.34
1750,4.67
1751,9.34
1752,9.34
1753,9.34
1754,28.02
1755,28.02
1756,4.67
1757,9.34
1758,9.34
1759,4.67
1760,9.34
1761,9.34
1762,4.67
1763,9.34
1764,9.34
1765,21.21
1766,14.94
1767,7.47
1768,7.47
1769,7.47
1770,14.94
1771,7.47
1772,76.56
1773,70.56
1774,70.56
1775,76.56
1776,76.56
1777,81.84
1778,119.64000000000001
1779,119.64000000000001
1780,125.88
1781,125.88
1782,83.03999999999999
1783,83.03999999999999
1784,53.04
1785,53.04
1786,83.03999999999999
1787,53.04
1788,83.03999999999999
1789,53.04
1790,83.03999999999999
1791,81.0
1792,75.0
1793,81.0
1794,81.0
1795,81.0
1796,11.0
1797,5.5
1798,11.0
1799,5.5
1800,5.5
1801,5.5
1802,5.5
1803,11.0
1804,11.0
1805,40.32
1806,41.519999999999996
1807,99.96000000000001
1808,99.96000000000001
1809,93.96000000000001
1810,87.96000000000001
1811,99.96000000000001
1812,99.96000000000001
1813,249.95999999999998
1814,41.66
1815,83.32
1816,249.95999999999998
1817,41.66
1818,249.95999999999998
1819,41.66
1820,121.92
1821,133.92000000000002
1822,83.88
1823,83.88
1824,85.67999999999999
1825,83.88
1826,42.96
1827,42.96
1828,42.96
1829,42.96
1830,47.04
1831,39.88
1832,38.98
1833,75.48
1834,75.48
1835,75.48
1836,75.48
1837,75.48
1838,75.48
1839,75.48
1840,75.48
1841,75.48
1842,75.48
1843,89.88
1844,89.88
1845,39.599999999999994
1846,39.599999999999994
1847,39.599999999999994
1848,39.599999999999994
1849,39.599999999999994
1850,39.599999999999994
1851,39.599999999999994
1852,39.599999999999994
1853,39.599999999999994
1854,39.599999999999994
1855,39.599999999999994
1856,39.599999999999994
1857,39.599999999999994
1858,118.8
1859,39.599999999999994
1860,79.19999999999999
1861,39.599999999999994
1862,39.599999999999994
1863,39.599999999999994
1864,39.599999999999994
1865,39.599999999999994
1866,39.599999999999994
1867,39.599999999999994
1868,39.599999999999994
1869,39.599999999999994
1870,39.599999999999994
1871,39.599999999999994
1872,39.599999999999994
1873,39.599999999999994
1874,39.599999999999994
1875,39.599999999999994
1876,39.599999999999994
1877,39.599999999999994
1878,39.599999999999994
1879,39.599999999999994
1880,75.0
1881,75.0
1882,75.0
1883,48.480000000000004
1884,48.480000000000004
1885,41.28
1886,41.28
1887,41.28
1888,41.28
1889,41.28
